"Year","Month","Timestamp","Day.of.Week","Hour.of.Day","Route.ID","Direction","Borough","Route.Type","Stop.Order","Timepoint.Stop.ID","Timepoint.Stop.Name","Timepoint.Stop.Latitude","Timepoint.Stop.Longitude","Next.Timepoint.Stop.ID","Next.Timepoint.Stop.Name","Next.Timepoint.Stop.Latitude","Next.Timepoint.Stop.Longitude","Road.Distance","Average.Travel.Time","Average.Road.Speed","Bus.Trip.Count","Timepoint.Stop.Georeference","Next.Timepoint.Stop.Georeference"
2023,3,"2023 Mar 01 07:00:00 AM","Friday",7,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.822918,11.51620651531,16,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,3,"2023 Mar 01 12:00:00 PM","Friday",12,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.755556,11.56544396148,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,3,"2023 Mar 01 06:00:00 PM","Friday",18,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.010524,12.13948191721,19,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,3,"2023 Mar 01 09:00:00 AM","Friday",9,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.259724,11.20683160386,12,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 06:00:00 AM","Thursday",6,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.034524,12.12010298581,14,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 04:00:00 PM","Thursday",16,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.63462,11.65490430852,13,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 09:00:00 AM","Thursday",9,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.879168,11.47541448181,8,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 10:00:00 AM","Thursday",10,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.649994,10.94414772945,11,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 11:00:00 PM","Thursday",23,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,12.969042,14.0503815129,7,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 05:00:00 AM","Thursday",5,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.108886,12.91526672131,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 11:00:00 AM","Thursday",11,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.169448,11.2694034953,12,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 08:00:00 AM","Thursday",8,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.52445,11.02729725072,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 06:00:00 PM","Thursday",18,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.694446,11.61047746512,12,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 07:00:00 AM","Thursday",7,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.572222,10.9955093524,12,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 09:00:00 PM","Thursday",21,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,13.464282,13.5335837737,7,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 07:00:00 PM","Thursday",19,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.886108,12.24094138764,12,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 01:00:00 PM","Thursday",13,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.913638,11.45055698372,11,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 03:00:00 PM","Thursday",15,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.23229,11.96274493198,16,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 12:00:00 PM","Thursday",12,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.565152,11.70692151103,11,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 10:00:00 PM","Thursday",22,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,13.179174,13.82636125295,8,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 02:00:00 PM","Thursday",14,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.734852,10.88865392287,11,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 08:00:00 PM","Thursday",20,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.714286,12.38388109051,7,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2023,5,"2023 May 01 05:00:00 PM","Thursday",17,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.437782,12.62105392934,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 02:00:00 PM","Wednesday",14,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.520244,11.03010514634,14,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 05:00:00 PM","Wednesday",17,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.135182,11.2933330992,18,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 01:00:00 PM","Wednesday",13,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.238094,11.22175920171,14,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 09:00:00 PM","Wednesday",21,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.275002,12.76497194186,10,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 07:00:00 AM","Wednesday",7,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,17.425002,10.45738760891,20,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 08:00:00 PM","Wednesday",20,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.735182,10.88843980166,9,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 04:00:00 PM","Wednesday",16,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.806244,11.52835386201,16,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 11:00:00 PM","Wednesday",23,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,13.221666,13.78192430515,10,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 10:00:00 AM","Wednesday",10,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.464444,11.06748578938,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 07:00:00 PM","Wednesday",19,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,16.138884,11.29074352353,15,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 10:00:00 PM","Wednesday",22,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,14.883336,12.24322508399,9,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
2024,5,"2024 May 01 06:00:00 PM","Wednesday",18,"Q52+","N","Other","SBS",1,550797,"BEACH CHANNEL DR/BEACH 54 ST",40.595194,-73.784759,553027,"CROSS BAY BL/E 16 RD",40.601521,-73.820088,3.037,15.873966,11.47917450675,16,"POINT (-73.784759 40.595194)","POINT (-73.820088 40.601521)"
